Localidad,UPZ,Barrio
Santa Fe,Lourdes (96),Gran Colombia
Santa Fe,Lourdes (96),La Peña
Santa Fe,Lourdes (96),Los Laches
Santa Fe,Lourdes (96),Lourdes
Santa Fe,Lourdes (96),Ramírez
Santa Fe,Lourdes (96),San Dionisio
Santa Fe,Lourdes (96),Santa Rosa de Lima
Santa Fe,Lourdes (96),Vitelma
Santa Fe,Veredas,Monserrate
Santa Fe,Veredas,Guadalupe
Santa Fe,Veredas,El Verjón
San Cristóbal,San Blas,Aguas Claras
San Cristóbal,San Blas,Altamira
San Cristóbal,San Blas,Altos del Sol
San Cristóbal,San Blas,Atenas
San Cristóbal,San Blas,Balcón de la Castaña
San Cristóbal,San Blas,Corinto
San Cristóbal,San Blas,El Futuro
San Cristóbal,San Blas,El Ramajal
San Cristóbal,San Blas,El Ramajal (San Pedro)
San Cristóbal,San Blas,La Castaña
San Cristóbal,San Blas,La Cecilia
San Cristóbal,San Blas,La Joyita Centro (Bello Horizonte)
San Cristóbal,San Blas,La Playa
San Cristóbal,San Blas,La Roca
San Cristóbal,San Blas,La Sagrada Familia
San Cristóbal,San Blas,Las Acacias
San Cristóbal,San Blas,Las Mercedes
San Cristóbal,San Blas,Los Arrayanes Sector Santa Inés
San Cristóbal,San Blas,Manantial
San Cristóbal,San Blas,Manila
San Cristóbal,San Blas,Montecarlo
San Cristóbal,San Blas,Nueva Granada
San Cristóbal,San Blas,Quindío
San Cristóbal,San Blas,San Blas
San Cristóbal,San Blas,San Blas (Parcelas)
San Cristóbal,San Blas,San Blas II Sector
San Cristóbal,San Blas,San Cristóbal Alto
San Cristóbal,San Blas,San Cristóbal Viejo
San Cristóbal,San Blas,San Dionisio
San Cristóbal,San Blas,San José Sur Oriental
San Cristóbal,San Blas,San Luis
San Cristóbal,San Blas,Vitelma
San Cristóbal,20 de Julio,20 de Julio
San Cristóbal,20 de Julio,Aguas Claras
San Cristóbal,20 de Julio,Buenos Aires
San Cristóbal,20 de Julio,Camino Viejo de San Cristóbal
San Cristóbal,20 de Julio,La Gloria
San Cristóbal,20 de Julio,La María
San Cristóbal,20 de Julio,La Victoria
San Cristóbal,20 de Julio,Las Guacamayas
San Cristóbal,20 de Julio,Las Guacamayas I
San Cristóbal,20 de Julio,Las Guacamayas II
San Cristóbal,20 de Julio,Las Guacamayas III
San Cristóbal,20 de Julio,Las Lomas
San Cristóbal,20 de Julio,Los Alpes
San Cristóbal,20 de Julio,Los Arrayanes
San Cristóbal,20 de Julio,Nariño Sur
San Cristóbal,20 de Julio,San José Oriental
San Cristóbal,20 de Julio,San Martín de Loba I
San Cristóbal,20 de Julio,San Martín de Loba II
San Cristóbal,20 de Julio,San Martin Sur
San Cristóbal,Sosiego,Calvo Sur
San Cristóbal,Sosiego,El Progreso
San Cristóbal,Sosiego,Los Dos Leones
San Cristóbal,Sosiego,Pinos de Oriente
San Cristóbal,Sosiego,Primera de Mayo
San Cristóbal,La Gloria,El Recodo - República de Canadá
San Cristóbal,La Gloria,El Rodeo
San Cristóbal,La Gloria,Gran Colombia (Molinos de Oriente)
San Cristóbal,La Gloria,Horacio Orjuela
San Cristóbal,La Gloria,Juan Rey (La Paz)
San Cristóbal,La Gloria,La Belleza
San Cristóbal,La Gloria,La Colmena
San Cristóbal,La Gloria,La Gloria Baja
San Cristóbal,La Gloria,La Nueva Gloria
San Cristóbal,La Gloria,La Nueva Gloria II Sector
San Cristóbal,La Gloria,La Victoria III Sector
San Cristóbal,La Gloria,Las Gaviotas
San Cristóbal,La Gloria,Los Arrayanes
San Cristóbal,La Gloria,Macarena Los Alpes
San Cristóbal,La Gloria,Molinos de Oriente
San Cristóbal,La Gloria,San José Oriental
San Cristóbal,La Gloria,San Martín
San Cristóbal,Veredas (Rural),El Verjón Oriental
San Cristóbal,Veredas (Rural),La Península
San Cristóbal,Los Libertadores,La Herradura
San Cristóbal,Los Libertadores,Laureles Sur Oriental II Sector
San Cristóbal,Los Libertadores,Los Alpes Futuro
San Cristóbal,Los Libertadores,Los Laureles Sur Oriental I Sec
San Cristóbal,Los Libertadores,Los Libertadores
San Cristóbal,Los Libertadores,Los Pinares
San Cristóbal,Los Libertadores,Los Pinos
San Cristóbal,Los Libertadores,Los Puentes
San Cristóbal,Los Libertadores,República del Canadá - El Pinar
San Cristóbal,Los Libertadores,San Jacinto
San Cristóbal,Los Libertadores,San Manuel
San Cristóbal,Los Libertadores,San Rafael Sur Oriental
San Cristóbal,Los Libertadores,San Rafael Usme
San Cristóbal,Los Libertadores,Santa Rita I, II y III
San Cristóbal,Los Libertadores,Santa Rita Sur Oriental
San Cristóbal,Los Libertadores,Valparaíso
San Cristóbal,Los Libertadores,Villa Angélica, Canadá, La Güira
San Cristóbal,Los Libertadores,Antioquia
San Cristóbal,Los Libertadores,Canadá La Güira II Sector
San Cristóbal,Los Libertadores,El Paraíso Sur Oriental I Sec
San Cristóbal,Los Libertadores,El Triunfo
San Cristóbal,Los Libertadores,Juan Rey I
San Cristóbal,Los Libertadores,Juan Rey II
San Cristóbal,Los Libertadores,La Sierra
San Cristóbal,Los Libertadores,Los Libertadores (Bque Diamant)
San Cristóbal,Los Libertadores,Los Libertadores (Triángulo)
San Cristóbal,Los Libertadores,Nueva Delly
San Cristóbal,Los Libertadores,Nueva España
San Cristóbal,Los Libertadores,Nueva España Parte Alta
San Cristóbal,Los Libertadores,Nueva Gloria
San Cristóbal,Los Libertadores,Nueva Roma
San Cristóbal,Los Libertadores,Nuevas Malvinas o El Triunfo
San Cristóbal,Los Libertadores,Rincón de la Victoria - Buenavista
San Cristóbal,Los Libertadores,San Germán
San Cristóbal,Los Libertadores,Santa Rosa
San Cristóbal,Los Libertadores,Yomasa
San Cristóbal,Los Libertadores,Villa Angélica
San Cristóbal,La Gloria,Ciudadela Santa Rosa
San Cristóbal,La Gloria,El Quindío
San Cristóbal,20 de Julio,Ciudad de Londres
San Cristóbal,San Blas,Ramajal
San Cristóbal,San Blas,Sagrada Familia
San Cristóbal,Sosiego,Amapolas
San Cristóbal,Sosiego,Bello Horizonte
San Cristóbal,Sosiego,Bello Horizonte Alto
San Cristóbal,Sosiego,Buenos Aires Central
San Cristóbal,Sosiego,Buenos Aires Norte
San Cristóbal,Sosiego,El Sosiego
San Cristóbal,Sosiego,Granada
San Cristóbal,Sosiego,Granada Sur
San Cristóbal,Sosiego,La Granja
San Cristóbal,Sosiego,La Recopilación
San Cristóbal,Sosiego,Manzanares
San Cristóbal,Sosiego,Modelo Sur
San Cristóbal,Sosiego,Mucha Agua
San Cristóbal,Sosiego,Nariño Central
San Cristóbal,Sosiego,Nariño Sur
San Cristóbal,Sosiego,Primero de Mayo
San Cristóbal,Sosiego,San Benito
San Cristóbal,Sosiego,San Javier
San Cristóbal,Sosiego,San Pedro
San Cristóbal,Sosiego,Tibanica
San Cristóbal,Sosiego,Triángulo
San Cristóbal,Sosiego,Villa Javier
San Cristóbal,Sosiego,Vivienda El Bosque
San Cristóbal,20 de Julio,Bello Horizonte
San Cristóbal,Los Libertadores,El Balcón de La Castaña
San Cristóbal,Los Libertadores,San Miguel
San Cristóbal,Los Libertadores,Triángulo de La Paz
San Cristóbal,Sosiego (33),Altos del Zipa
San Cristóbal,Sosiego (33),Amapolas II
San Cristóbal,Sosiego (33),Bellavista Parte Baja
San Cristóbal,Sosiego (33),Bellavista Sur
San Cristóbal,Sosiego (33),Bosque de Los Alpes
San Cristóbal,Sosiego (33),Buenavista Suroriental
San Cristóbal,Sosiego (33),Cerros de San Vicente
San Cristóbal,Sosiego (33),Golconda
San Cristóbal,Sosiego (33),Quinta Ramos
San Cristóbal,Sosiego (33),República de Venezuela
San Cristóbal,Sosiego (33),San Cristóbal Sur
San Cristóbal,Sosiego (33),Santa Ana
San Cristóbal,Sosiego (33),Santa Ana Sur
San Cristóbal,Sosiego (33),Velódromo
San Cristóbal,Sosiego (33),Villa Albania
San Cristóbal,La Gloria (50),La Grovana
San Cristóbal,La Gloria (50),La Serafina
San Cristóbal,La Gloria (50),San Isidro
San Cristóbal,La Gloria (50),San José
San Cristóbal,La Gloria (50),San Luis
San Cristóbal,Los Libertadores (51),Malvinas
San Cristóbal,Los Libertadores (51),Moralva
San Cristóbal,Los Libertadores (51),Panorama (Antes Altamira)
San Cristóbal,Los Libertadores (51),Villa Begonia
San Cristóbal,20 de Julio (34),San Isidro
San Cristóbal,San Blas (32),Villa del Cerro
San Cristóbal,San Blas (32),Villa Aurora
San Cristóbal,San Blas (32),La Gran Colombia (Nota: Sector de Molinos de Oriente)
San Cristóbal,San Blas (32),Triángulo Alto
San Cristóbal,San Blas (32),Triángulo Bajo
San Cristóbal,San Blas (32),Vereda Altos de San Blas (Nota: Zonas de borde)
San Cristóbal,San Blas (32),El Pilar
Usme,Gran Yomasa (54),Arrayanes
Usme,Gran Yomasa (54),La Regadera
Usme,Gran Yomasa (54),Las Granjas de San Pedro (Santa Librada)
Usme,Gran Yomasa (54),Las Viviendas
Usme,Gran Yomasa (54),Los Tejares Sur
Usme,Gran Yomasa (54),Nuevo San Andrés de Los Altos
Usme,Gran Yomasa (54),Olivares
Usme,Gran Yomasa (54),San Andrés Alto
Usme,Gran Yomasa (54),San Felipe
Usme,Gran Yomasa (54),San Isidro Sur
Usme,Gran Yomasa (54),San Juan Bautista
Usme,Gran Yomasa (54),San Juan I
Usme,Gran Yomasa (54),San Juan II
Usme,Gran Yomasa (54),San Luis
Usme,Gran Yomasa (54),San Pablo
Usme,Gran Yomasa (54),Santa Librada
Usme,Gran Yomasa (54),Santa Librada - La Esperanza
Usme,Gran Yomasa (54),El Nevado
Usme,Ciudad Usme (55),Alfonso López Sector Buenos Aires
Usme,Ciudad Usme (55),Alfonso López Sector Charala
Usme,Ciudad Usme (55),Alfonso López Sector El Progreso
Usme,Ciudad Usme (55),Brisas del Llano
Usme,Ciudad Usme (55),Ciudadela El Oasis
Usme,Ciudad Usme (55),El Nuevo Portal
Usme,Ciudad Usme (55),El Paraíso
Usme,Ciudad Usme (55),El Portal II Etapa
Usme,Ciudad Usme (55),El Progreso Usme
Usme,Ciudad Usme (55),El Refugio I
Usme,Ciudad Usme (55),El Refugio II
Usme,Ciudad Usme (55),El Triángulo
Usme,Ciudad Usme (55),El Uval
Usme,Ciudad Usme (55),El Uval II Sector
Usme,Ciudad Usme (55),La Huerta
Usme,Ciudad Usme (55),La Orquídea Usme
Usme,Ciudad Usme (55),La Reforma
Usme,Ciudad Usme (55),Nuevo Porvenir
Usme,Ciudad Usme (55),Nuevo Progreso - El Uval
Usme,Ciudad Usme (55),Usme Centro
Usme,La Flora (52),Buenos Aires
Usme,La Flora (52),Costa Rica
Usme,La Flora (52),Doña Liliana
Usme,La Flora (52),El Bosque Km. 11
Usme,La Flora (52),Juan José Rondón
Usme,La Flora (52),Juan José Rondón II Sector
Usme,La Flora (52),Juan Rey Sur
Usme,La Flora (52),La Cabaña
Usme,La Flora (52),La Flora - Parcelación San Pedro
Usme,La Flora (52),Las Violetas
Usme,La Flora (52),Los Arrayanes
Usme,La Flora (52),Los Soches
Usme,La Flora (52),Tihuaque
Usme,La Flora (52),Unión
Usme,La Flora (52),Villa Diana
Usme,La Flora (52),Villa Rosita
Usme,Comuneros (53),Alaska
Usme,Comuneros (53),Arrayanes
Usme,Comuneros (53),Danubio Azul
Usme,Comuneros (53),Daza Sector II
Usme,Comuneros (53),Duitama
Usme,Comuneros (53),El Porvenir
Usme,Comuneros (53),El Porvenir II Sector
Usme,Comuneros (53),El Portal (Conjuntos)
Usme,Comuneros (53),Fiscala II La Fortuna
Usme,Comuneros (53),Fiscala Sector Centro
Usme,Comuneros (53),La Fiscala - Los Tres Laureles
Usme,Comuneros (53),La Fiscala - Lote 16
Usme,Comuneros (53),La Fiscala - Lote 16A
Usme,Comuneros (53),La Fiscala Sector Daza
Usme,Comuneros (53),La Fiscala Sector Norte
Usme,Comuneros (53),La Fiscala Sector Rodríguez
Usme,Comuneros (53),La Morena I
Usme,Comuneros (53),Puerta al Llano
Usme,Comuneros (53),San Francisco
Usme,Parque Entrenubes (57),Arrayanes
Usme,Parque Entrenubes (57),Bolonia
Usme,Parque Entrenubes (57),El Bosque Central
Usme,Parque Entrenubes (57),El Nuevo Portal II
Usme,Parque Entrenubes (57),El Refugio I
Usme,Parque Entrenubes (57),La Esperanza Sur
Usme,Parque Entrenubes (57),Los Olivares
Usme,Parque Entrenubes (57),Pepinitos
Usme,Parque Entrenubes (57),Tocaimita Oriental
Usme,Parque Entrenubes (57),Tocaimita Sur
Usme,Chunniza (60),Betania
